title,label,clean_title
"Iran's Mojtaba Orders Military To Stop Firing, But Warns ""Not End Of War""",1,iran mojtaba order militari stop fire warn end war
Trump Announces 2-Week Ceasefire With Iran: Here's Full Statement,1,trump announc week ceasefir iran here full statement
"If You Can Recognize More Than 10 Movies From Just The 'The' In Their Titles, You're A Cinema Expert",0,recogn movi titl your cinema expert
Everyone In 'The Devil Wears Prada 2' Has Been Announced And The Cast List Is *So* Good,0,everyon devil wear prada announc cast list good
Show HN: Brutalist Concrete Laptop Stand (2024),1,show brutalist concret laptop stand
"Trump-backed Republican Clay Fuller wins election to replace Marjorie Taylor Greene
He will serve out the rest of Marjorie Taylor Greene's term, which ends in January 2027.
3 hrs ago
US & Canada",1,trumpback republican clay fuller win elect replac marjori taylor green serv rest marjori taylor green term end januari hr ago canada
"Oil plunges after US-Iran ceasefire deal to reopen Strait of Hormuz
The agreement was announced not long before Trump's Tuesday evening deadline was reached.",1,oil plung usiran ceasefir deal reopen strait hormuz agreement announc long trump tuesday even deadlin reach
GLM-5.1: Towards Long-Horizon Tasks,1,glm toward longhorizon task
Bitcoin and quantum computing,1,bitcoin quantum comput
"4
Watch: Artemis II mission loses contact with Earth for 40 minutes",1,watch artemi mission lose contact earth minut
"2
Americans react to Trump's 'a whole civilisation will die tonight' warning",1,american react trump whole civilis die tonight warn
Design Your Ultimate Bizarre Snack Platter And We'll Tell You What Gen Z Archetype You Truly Are,0,design ultim bizarr snack platter well tell gen archetyp truli
"Vietnam's leader To Lam strengthens power in unanimous assembly vote
Vietnam's communist party chief is now also the country's president - an unusual concentration of power.
18 hrs ago
Asia",1,vietnam leader lam strengthen power unanim assembl vote vietnam communist parti chief also countri presid unusu concentr power hr ago asia
"Bill Gates set to testify before US Congress in Epstein investigation
The Microsoft co-founder is the latest high-profile figure to agree to testify before the committee investigating Epstein's wrongdoing.
11 hrs ago
US & Canada",1,bill gate set testifi congress epstein investig microsoft cofound latest highprofil figur agre testifi committe investig epstein wrongdo hr ago canada
Your Personality Will Reveal The Unusual Beauty Treatment That's Perfect For You,0,person reveal unusu beauti treatment that perfect
8 Tropes I Have Come Across On Wattpad That Have Me Physically Recoiling,0,trope come across wattpad physic recoil
Medieval Castles Have The Most Disturbing Histories And I'm Literally Shaking After Reading These Stories,0,mediev castl disturb histori liter shake read stori
"From First Nominations To Snubs, The 2025 Emmy Nominations Are Quite Eventful",0,first nomin snub emmi nomin quit event
The Image Boards of Hayao Miyazaki,1,imag board hayao miyazaki
"8 Times Jonathan Bailey Was So Adorably Chaotic Online, He Deserves To Be Protected At All Costs",0,time jonathan bailey ador chaotic onlin deserv protect cost
Cloudflare targets 2029 for full post-quantum security,1,cloudflar target full postquantum secur
The Brutal Truth About What It Would Actually Cost To Live 'Comfortably' In San Francisco,0,brutal truth would actual cost live comfort san francisco
Project Glasswing: Securing critical software for the AI era,1,project glassw secur critic softwar era
The Internet Is Blowing Up Over Ranveer Singh Romancing 20-Year-Old Sara Arjun In 'Dhurandhar',0,internet blow ranveer singh romanc yearold sara arjun dhurandhar
