headline,url,content,source,label
"Iran's Mojtaba Orders Military To Stop Firing, But Warns ""Not End Of War""",https://www.ndtv.com/world-news/not-end-of-war-irans-mojtaba-khamenei-warns-as-he-orders-its-military-to-stop-firing-11326048,,NDTV,REAL
Trump Announces 2-Week Ceasefire With Iran: Here's Full Statement,https://www.ndtv.com/world-news/us-iran-ceasefire-updates-shehbaz-sharif-asim-munir-pakistan-israel-war-news-trump-agrees-to-two-week-ceasefire-with-iran-full-statement-truth-social-11325832,,NDTV,REAL
"If You Can Recognize More Than 10 Movies From Just The 'The' In Their Titles, You're A Cinema Expert",https://www.buzzfeed.com/arsheenkaur44/only-true-film-buffs-can-identify-these-movies-from-just,,BuzzFeed,FAKE
Everyone In 'The Devil Wears Prada 2' Has Been Announced And The Cast List Is *So* Good,https://www.buzzfeed.com/kanksharaina/the-full-cast-of-the-devil-wears-prada-2,,BuzzFeed,FAKE
Show HN: Brutalist Concrete Laptop Stand (2024),https://sam-burns.com/posts/concrete-laptop-stand/,,HackerNews,REAL
"Trump-backed Republican Clay Fuller wins election to replace Marjorie Taylor Greene
He will serve out the rest of Marjorie Taylor Greene's term, which ends in January 2027.
3 hrs ago
US & Canada",https://www.bbc.com/news/articles/c8r40erdj6mo,"Republican Clay Fuller is projected to have won Georgia's runoff election to replace former Congresswoman Marjorie Taylor Greene, a once-staunch ally of Donald Trump who resigned earlier this year after breaking with the president. Fuller won the election to replace her on Tuesday, according to CBS News, the BBC's US partner. He is a Trump-endorsed candidate who won against Democrat Shawn Harris, and whose victory keeps the strongly conservative district in Republican hands. The win shores up the party's razor-thin 217-214 majority in the House of Representatives. Fuller, a lieutenant colonel in the Georgia Air National Guard, will serve out the rest of Greene's term, which ends next January. He said in an interview with Fox News on Tuesday night that Trump's endorsement was ""the key factor in us winning"". ""He was the difference-maker,"" Fuller said. ""He made all the difference in the world. It was the honour of my lifetime to be able to get his endorsement."" A special election was held on 10 March where Harris performed marginally better than Fuller, in part because a crowded Republican field split the vote. No single candidate won a majority that night, requiring Tuesday's run off election. In order to hold the seat in Congress beyond next January, Fuller will have to immediately start campaiging again, this time for the midterm elections this November. It's possible he will face off with Harris again. Harris indicated on social media that he plans to run. ""This wasn't the result we wanted, but the message is clear — people here are ready for leadership that puts them first,"" he said. ""The fight continues. On to November!"" Fuller, who was a White House fellow during Trump's first term, is closely aligned with the president's agenda, particularly on curbing illegal immigration and enacting mass deportations. He rose to the top of a crowded Republican primary field in large part due to Trump's endorsement. Washington closely followed the race from afar for indications of Trump's sway with his base ahead of the midterm elections. ""In general, part of President Trump's strategy in endorsing Fuller was this recognition that the most red meat, MAGA-affiliated candidate in this particular instance, might be off-putting to voters in the middle,"" said Andra Gillespie, a professor of political science at Emory University. ""This was an attempt to not lose those voters."" The president doubled down on his support for Fuller on Monday night, writing on social media ahead of election day: ""I am asking all Republicans, America First Patriots, and MAGA Warriors, to please GET OUT AND VOTE for a fantastic Candidate, Clay Fuller, who has my Complete and Total Endorsement!"" Harris had bet on the unpredictable dynamics of the run-off – which occurs outside a typical election cycle when voter turnout may be low – hoping it would allow him to bring out enough Democratic and Independent voters to pull off a surprise victory. The Democratic Party had eyed the seat as a potential-pick up, and former presidential candidate Pete Buttigieg held a town hall with Harris in March. ""Everybody who voted for any other candidate [...] I want to talk to every last one of them, and say: 'Give me a chance,'"" Harris told the BBC after he advanced in the run-off. But several things had to go right for Harris – and wrong for Fuller – for the Democrat to win this race, said Andra Gillespie, a professor of political science at Emory University. Georgia's 14th congressional district encompasses the northwest part of the state, from the northwest Atlanta suburbs all the way up to the Tennessee border. The mostly-rural district is dominated by Republicans, but has pockets of Democratic voters in the areas closer to Atlanta and around the city of Rome. Trump had repeatedly chimed in on the race, with hopes to keep it in Republican hands. The party has a narrow majority in the House of Representatives, meaning even just a few Republican defections could derail a vote.",BBC,REAL
"Oil plunges after US-Iran ceasefire deal to reopen Strait of Hormuz
The agreement was announced not long before Trump's Tuesday evening deadline was reached.",https://www.bbc.com/news/articles/c8r40y3rv75o,"Global oil prices have fallen sharply and stock markets have jumped after the US and Iran agreed to a conditional two-week ceasefire deal that includes the reopening of the key Strait of Hormuz waterway. The price of benchmark Brent crude fell by about 13% to $94.80 (£70.73) a barrel, while US-traded oil was more than 15% lower at $95.75. But oil prices remain higher than before the conflict started on 28 February. At the time, it was trading at around $70 a barrel. The cost of energy has jumped as oil and gas supplies from the Middle East have been severely disrupted after Iran threatened to attack ships trying to use the strait in retaliation to US and Israeli airstrikes. Major stock indexes in the Asia-Pacific region rose on Wednesday morning. Japan's Nikkei 225 gained by 5% while South Korea's Kospi jumped by nearly 6%. Hong Kong's Hang Seng was up by 2.8%, while the ASX 200 in Australia gained 2.7%. US stock market futures also pointed to a higher open for Wall Street. Futures contracts are an agreement to buy an asset for a set price at a later point in time. In the case of US stock stock futures they can indicate the direction of the market before it opens. In a social media post on Tuesday evening, Trump said: ""I agree to suspend the bombing and attack of Iran for a period of two weeks... subject to the Islamic Republic of Iran agreeing to the COMPLETE, IMMEDIATE, and SAFE OPENING of the Strait of Hormuz"". He had set a deadline for 20:00 EDT on Tuesday (00:00 GMT on Wednesday), threatening that ""a whole civilisation will die tonight"" if no deal was reached. Iranian Foreign Minister Abbas Araghchi said on social media that Tehran will agree to a ceasefire ""if attacks against Iran are halted"", adding that safe passage through the Strait of Hormuz ""will be possible"". Despite his threats, Trump was likely to be wary about letting energy prices ""skyrocket"" by escalating the conflict, said Xavier Smith from market research firm AlphaSense. That could have led to a ""self-inflicted economic wound"" that few would risk, especially given the looming pressure of approval ratings on Trump's leadership, Smith said. More oil tankers stranded near the strait may be able to pass through the waterway during the ceasefire, providing some relief for markets in the coming weeks, said Saul Kavonic from MST Marquee. Despite the conflict, some ships have passed through the Strait of Hormuz, although far fewer than usual. Asian countries - including India, Malaysia and the Philippines - have negotiated safe passage for their vessels in recent weeks. China has also acknowledged that several of its ships have crossed the strait since the war began. Meanwhile, a Malta-flagged container vessel owned by French company CMA CGM crossed the shipping route, media organisation BFM TV - which is owned by the shipping firm - confirmed on Friday. And a Japanese ship carrying natural gas also made it out of the strait, shipping giant MOL confirmed. Kavonic said that while a ceasefire is in place, it is still unlikely that energy production in the Middle East will fully resume until there is confidence of a lasting peace deal. It could also take months for production to restart due to damage done to energy infrastructure in the region, he said. Iran has targeted energy and industrial infrastructure across the oil-rich region in retaliation to the US-Israeli strikes. It could take years to fix the damage and cost more than $25bn, according to research firm Rystad Energy. Energy prices jumped in mid-March after strikes on Qatar's Ras Laffan industrial hub, which produces about a fifth of the world's liquefied natural gas. The hub's owners said the attacks have reduced the country's export capacity by 17% and that it will take up to five years to repair the damage. Asia has been hit particularly hard by the economic fallout of the Iran war as many countries are heavily reliant on energy from the Gulf. Governments and companies across the region have announced measures in recent weeks to deal with high energy prices and fuel shortages. On 24 March, the Philippines, which imports 98% of its oil from the Middle East, became the first country to declare a national energy emergency after petrol prices more than doubled. Many airlines in the region have raised fares and cut flights in response to surging jet fuel prices. Developing countries in Asia have been especially affected by the conflict as many do not have their own refineries or sufficient oil reserves, said Ichiro Kutani from Japan's Institute of Energy Economics. ""The ceasefire is good news for Asian countries. If it holds, oil prices will return to normal states, though this will take time.""",BBC,REAL
GLM-5.1: Towards Long-Horizon Tasks,https://z.ai/blog/glm-5.1,,HackerNews,REAL
Bitcoin and quantum computing,https://nehanarula.org/2026/04/03/bitcoin-and-quantum-computing.html,,HackerNews,REAL
"4
Watch: Artemis II mission loses contact with Earth for 40 minutes",https://www.bbc.com/news/videos/cp38vg5knveo,,BBC,REAL
